,kind,link,name,pitch,joined,location,market,size,stage,raised,website,years,annual_raised,raised_2mil,raised_12mil,size_numeric
1,Startup,https://angel.co/company/drchrono,DrChrono,"
On a mission to fix healthcare
",2011-02-01,Sunnyvale,Medical Devices,51-200,Series A,48725000,drchrono.com,9.317808219178081,5229234.048809174,1,1,125.0
2,Startup,https://angel.co/company/classpass,ClassPass,"
One app for the best fitness classes
",2011-07-01,Sydney,Fitness,501-1000,Series C,84000000,classpass.com,8.906849315068493,9430944.324823132,1,1,750.0
3,Startup,https://angel.co/company/fabricgenomics,Fabric Genomics,"
Global healthcare platform for genomics-driven precision medicine, proven AI algorithms
",2013-07-01,Oakland,Bioinformatics,11-50,Series B,23000000,fabricgenomics.com,6.904109589041096,3331349.206349206,1,1,25.0
4,Startup,https://angel.co/company/chewse,Chewse,"
Provides hassle-free, locally-sourced, delicious food, delivered straight to your door
",2012-01-01,Austin,Hospitality,51-200,Series B,16000000,chewse.com,8.402739726027397,1904140.8542549724,1,1,125.0
5,Startup,https://angel.co/company/syapse,Syapse,"
Powering precision medicine with insights from a global oncology network
",2012-02-01,Radnor,Bioinformatics,51-200,Series C,59500000,syapse.com,8.317808219178081,7153326.745718051,1,1,125.0
6,Startup,https://angel.co/company/lark-3,Lark,"
Lark's AI digital care platform enables virtual management of diabetes and heart disease
",2013-06-01,Silicon Valley,Consumer Electronics,51-200,Series C,71700000,lark.com,6.986301369863014,10262941.176470587,1,1,125.0
7,Startup,https://angel.co/company/quest-analytics,Quest Analytics,"
Powering the healthcare market with validated doctor data
",2012-04-01,Kansas City,Big Data Analytics,51-200,Acquired,24125000,betterdoctor.com,8.153424657534247,2958879.36827957,1,1,125.0
8,Startup,https://angel.co/company/benchling,Benchling,"
Informatics platform to accelerate, measure, and forecast R&D from discovery through bioprocessing
",2012-08-01,San Francisco,Synthetic Biology,51-200,Series C,61900000,benchling.com,7.8191780821917805,7916433.076384023,1,1,125.0
9,Startup,https://angel.co/company/flatiron-health,Flatiron Health,"
 Accelerating cancer research and improving patient care
",2012-09-01,New York City,Health Care Information Technology,501-1000,Series A,328000000,flatiron.com,7.734246575342466,42408784.98051718,1,1,750.0
10,Startup,https://angel.co/company/gauss-surgical-1,Gauss Surgical,"
AI-Enabled Platform for Surgery
",2013-09-01,Menlo Park,Computer Vision,11-50,Series C,38026000,gausssurgical.com,6.734246575342466,5646659.886086249,1,1,25.0
11,Startup,https://angel.co/company/humanapi,Human API,"
The easiest way for consumers to connect & share health data with any company
",2013-05-01,San Mateo,Real Time,11-50,Series A,16624982,humanapi.co,7.071232876712329,2351072.6191398683,1,1,25.0
13,Startup,https://angel.co/company/ubiome,uBiome,"
Big Data from Bacteria
",2013-03-01,San Francisco,Big Data,201-500,Series C,104500000,ubiome.com,7.238356164383561,14436979.560938682,1,1,350.0
14,Startup,https://angel.co/company/act-md,Activate Care,"
It takes a community
",2014-08-01,Boston,Health Care Information Technology,11-50,Series A,8400000,activatecare.com,5.8191780821917805,1443502.8248587572,1,0,25.0
15,Startup,https://angel.co/company/bright-md,Bright.md,"
Automating $150 billion of care delivery
",2013-12-01,Portland,Mobile Health,11-50,Series B,11500000,bright.md,6.484931506849315,1773341.7828474862,1,0,25.0
16,Startup,https://angel.co/company/amino-inc,Amino,"
Amino is a healthcare financial wellness benefit for mid-sized and large employers
",2014-04-01,San Francisco,Small and Medium Businesses,11-50,Seed,46150000,amino.com,6.153424657534247,7499888.691006233,1,1,25.0
18,Startup,https://angel.co/company/whoop,WHOOP,"
Whoop is a performance optimization system for elite athletes and teams
",2015-07-01,Boston,Fitness,51-200,Series C,47000000,whoop.com,4.904109589041096,9583798.882681563,1,1,125.0
19,Startup,https://angel.co/company/docsapp,DocsApp,"
Making quality healthcare easily accessible to over a billion people! 
",2015-10-01,Bengaluru,Artificial Intelligence,201-500,Series A,8400000,docsapp.in,4.652054794520548,1805653.71024735,1,0,350.0
20,Startup,https://angel.co/company/virta-health,Virta Health,"
The first and only clinically-proven treatment to reverse type 2 diabetes w/o drugs or surgery
",2016-04-01,San Francisco,Healthcare,51-200,Series C,175000000,virtahealth.com,4.1506849315068495,42161716.17161716,1,1,125.0
21,Startup,https://angel.co/company/titanfile,TitanFile,"
The easiest and most comprehensive way to correspond and share files in total security
",2011-05-01,Toronto,Insurance,1-10,Seed,1350000,titanfile.com,9.073972602739726,148777.1739130435,0,0,5.0
22,Startup,https://angel.co/company/cureatr,Cureatr,"
Mobile Care Coordination
",2014-06-01,New York City,Health Care Information Technology,11-50,Series A,6125000,cureatr.com,5.986301369863014,1023169.3363844393,1,0,25.0
23,Startup,https://angel.co/company/sickweather,Sickweather,"
Waze for sickness
",2011-11-01,Baltimore,Mobile Health,1-10,Seed,870000,sickweather.com,8.56986301369863,101518.5421994885,0,0,5.0
24,Startup,https://angel.co/company/agilemd,AgileMD,"
EHR-integrated pathways, analytics, and scoring tools
",2012-03-01,San Francisco,Health Care Information Technology,1-10,Seed,2500000,agilemd.com,8.238356164383562,303458.59660791483,1,0,5.0
26,Startup,https://angel.co/company/digitalmr,DigitalMR,"
Next Generation Market Research
",2014-03-01,London,Fast-Moving Consumer Goods,11-50,Seed,1020000,digital-mr.com,6.238356164383561,163504.6113306983,0,0,25.0
27,Startup,https://angel.co/company/happier,Happier,"
Focusing on the positive and staying connected to people you care about makes you happier
",2013-01-01,Boston,Personal Health,1-10,Seed,4400000,happier.com,7.4,594594.5945945946,1,0,5.0
28,Startup,https://angel.co/company/meludia,Meludia,"
Musical Brain Training
",2013-08-01,Paris,Music Education,11-50,Seed,888350,meludia.com,6.8191780821917805,130272.29811169145,0,0,25.0
29,Startup,https://angel.co/company/tute-genomics,Tute Genomics,"
Cloud-based Genome Analysis for Precision Medicine
",2013-03-01,Provo,Startups,11-50,Acquired,7700000,tutegenomics.com,7.238356164383561,1063777.441332324,1,0,25.0
30,Startup,https://angel.co/company/seratis,Seratis,"
Team transparency platform enabling care coordination for healthcare providers
",2013-04-01,Boston,Communications Infrastructure,1-10,Acquired,890000,seratis.com,7.153424657534247,124415.93259287628,0,0,5.0
31,Startup,https://angel.co/company/solvebio,SolveBio,"
Genomic Intelligence Platform
",2013-11-01,New York City,Bioinformatics,1-10,Seed,3900000,solvebio.com,6.567123287671233,593867.3341677096,1,0,5.0
32,Startup,https://angel.co/company/rise-2,Rise,"
Affordable & effective 1:1 nutrition coaching
",2013-10-01,San Francisco,,1-10,Acquired,2300000,rise.us,6.652054794520548,345757.8253706755,1,0,5.0
33,Startup,https://angel.co/company/dmetrics,dMetrics,"
AI for everyone
",2016-09-01,New York City,Machine Learning,11-50,Seed,7930000,dmetrics.com,3.7315068493150685,2125146.8428781205,1,0,25.0
34,Startup,https://angel.co/company/infermedica,Infermedica,"
AI-driven digital health company specialized in tools for preliminary diagnosis and triage
",2013-09-01,Wrocław,Mobile Health,51-200,Seed,3650000,infermedica.com,6.734246575342466,542005.6956875508,1,0,125.0
35,Startup,https://angel.co/company/mahmee,Mahmee,"
Mapping the Maternal Healthcare Ecosystem
",2015-10-01,Los Angeles,Women-Focused,11-50,Seed,4005000,mahmee.com,4.652054794520548,860909.8939929329,1,0,25.0
37,Startup,https://angel.co/company/ava-me,Ava Accessibility,"
Live subtitles for any conversation. enjoy 24/7 access to conversations around you
",2014-03-01,San Francisco,Communications Hardware,11-50,-,1845000,ava.me,6.238356164383561,295750.9881422925,0,0,25.0
38,Startup,https://angel.co/company/careskore-1,CareSkore,"
Personalized Population Health Management
",2015-01-01,San Francisco,Predictive Analytics,11-50,Seed,4300000,careskore.com,5.4,796296.2962962963,1,0,25.0
39,Startup,https://angel.co/company/aira,Aira,"
Visual Interpreter
",2015-05-01,San Diego,Assisitive Technology,11-50,Seed,4080000,aira.io,5.071232876712329,804538.0875202593,1,0,25.0
40,Startup,https://angel.co/company/zenysis,Zenysis,"
Advanced analytics for developing countries
",2016-03-01,San Francisco,International Development,11-50,Series A,8003365,zenysis.com,4.235616438356164,1889539.6021992238,1,0,25.0
41,Startup,https://angel.co/company/titanfile,TitanFile,"
The easiest and most comprehensive way to correspond and share files in total security
",2011-05-01,Toronto,Insurance,1-10,Seed,1350000,titanfile.com,9.073972602739726,148777.1739130435,0,0,5.0
42,Startup,https://angel.co/company/cureatr,Cureatr,"
Mobile Care Coordination
",2014-06-01,New York City,Health Care Information Technology,11-50,Series A,6125000,cureatr.com,5.986301369863014,1023169.3363844393,1,0,25.0
43,Startup,https://angel.co/company/sickweather,Sickweather,"
Waze for sickness
",2011-11-01,Baltimore,Mobile Health,1-10,Seed,870000,sickweather.com,8.56986301369863,101518.5421994885,0,0,5.0
44,Startup,https://angel.co/company/agilemd,AgileMD,"
EHR-integrated pathways, analytics, and scoring tools
",2012-03-01,San Francisco,Health Care Information Technology,1-10,Seed,2500000,agilemd.com,8.238356164383562,303458.59660791483,1,0,5.0
46,Startup,https://angel.co/company/digitalmr,DigitalMR,"
Next Generation Market Research
",2014-03-01,London,Fast-Moving Consumer Goods,11-50,Seed,1020000,digital-mr.com,6.238356164383561,163504.6113306983,0,0,25.0
47,Startup,https://angel.co/company/happier,Happier,"
Focusing on the positive and staying connected to people you care about makes you happier
",2013-01-01,Boston,Personal Health,1-10,Seed,4400000,happier.com,7.4,594594.5945945946,1,0,5.0
48,Startup,https://angel.co/company/meludia,Meludia,"
Musical Brain Training
",2013-08-01,Paris,Music Education,11-50,Seed,888350,meludia.com,6.8191780821917805,130272.29811169145,0,0,25.0
49,Startup,https://angel.co/company/tute-genomics,Tute Genomics,"
Cloud-based Genome Analysis for Precision Medicine
",2013-03-01,Provo,Startups,11-50,Acquired,7700000,tutegenomics.com,7.238356164383561,1063777.441332324,1,0,25.0
50,Startup,https://angel.co/company/seratis,Seratis,"
Team transparency platform enabling care coordination for healthcare providers
",2013-04-01,Boston,Communications Infrastructure,1-10,Acquired,890000,seratis.com,7.153424657534247,124415.93259287628,0,0,5.0
51,Startup,https://angel.co/company/solvebio,SolveBio,"
Genomic Intelligence Platform
",2013-11-01,New York City,Bioinformatics,1-10,Seed,3900000,solvebio.com,6.567123287671233,593867.3341677096,1,0,5.0
52,Startup,https://angel.co/company/rise-2,Rise,"
Affordable & effective 1:1 nutrition coaching
",2013-10-01,San Francisco,,1-10,Acquired,2300000,rise.us,6.652054794520548,345757.8253706755,1,0,5.0
53,Startup,https://angel.co/company/dmetrics,dMetrics,"
AI for everyone
",2016-09-01,New York City,Machine Learning,11-50,Seed,7930000,dmetrics.com,3.7315068493150685,2125146.8428781205,1,0,25.0
54,Startup,https://angel.co/company/infermedica,Infermedica,"
AI-driven digital health company specialized in tools for preliminary diagnosis and triage
",2013-09-01,Wrocław,Mobile Health,51-200,Seed,3650000,infermedica.com,6.734246575342466,542005.6956875508,1,0,125.0
55,Startup,https://angel.co/company/mahmee,Mahmee,"
Mapping the Maternal Healthcare Ecosystem
",2015-10-01,Los Angeles,Women-Focused,11-50,Seed,4005000,mahmee.com,4.652054794520548,860909.8939929329,1,0,25.0
57,Startup,https://angel.co/company/ava-me,Ava Accessibility,"
Live subtitles for any conversation. enjoy 24/7 access to conversations around you
",2014-03-01,San Francisco,Communications Hardware,11-50,-,1845000,ava.me,6.238356164383561,295750.9881422925,0,0,25.0
58,Startup,https://angel.co/company/careskore-1,CareSkore,"
Personalized Population Health Management
",2015-01-01,San Francisco,Predictive Analytics,11-50,Seed,4300000,careskore.com,5.4,796296.2962962963,1,0,25.0
59,Startup,https://angel.co/company/aira,Aira,"
Visual Interpreter
",2015-05-01,San Diego,Assisitive Technology,11-50,Seed,4080000,aira.io,5.071232876712329,804538.0875202593,1,0,25.0
60,Startup,https://angel.co/company/zenysis,Zenysis,"
Advanced analytics for developing countries
",2016-03-01,San Francisco,International Development,11-50,Series A,8003365,zenysis.com,4.235616438356164,1889539.6021992238,1,0,25.0
61,Startup,https://angel.co/company/titanfile,TitanFile,"
The easiest and most comprehensive way to correspond and share files in total security
",2011-05-01,Toronto,Insurance,1-10,Seed,1350000,titanfile.com,9.073972602739726,148777.1739130435,0,0,5.0
62,Startup,https://angel.co/company/cureatr,Cureatr,"
Mobile Care Coordination
",2014-06-01,New York City,Health Care Information Technology,11-50,Series A,6125000,cureatr.com,5.986301369863014,1023169.3363844393,1,0,25.0
