,kind,link,name,pitch,joined,location,market,size,stage,raised,website,years,annual_raised,raised_2mil,raised_12mil,size_numeric,followers,following,tweets
0,Startup,https://angel.co/company/drchrono,DrChrono,"
On a mission to fix healthcare
",2011-02-01,Sunnyvale,Medical Devices,51-200,Series A,48725000,drchrono.com,9.317808219178081,5229234.0488091735,1,1,125.0,9659,10604,8087
1,Startup,https://angel.co/company/classpass,ClassPass,"
One app for the best fitness classes
",2011-07-01,Sydney,Fitness,501-1000,Series C,84000000,classpass.com,8.906849315068492,9430944.324823132,1,1,750.0,31033,8157,58084
2,Startup,https://angel.co/company/fabricgenomics,Fabric Genomics,"
Global healthcare platform for genomics-driven precision medicine, proven AI algorithms
",2013-07-01,Oakland,Bioinformatics,11-50,Series B,23000000,fabricgenomics.com,6.904109589041097,3331349.206349206,1,1,25.0,0,0,0
3,Startup,https://angel.co/company/chewse,Chewse,"
Provides hassle-free, locally-sourced, delicious food, delivered straight to your door
",2012-01-01,Austin,Hospitality,51-200,Series B,16000000,chewse.com,8.402739726027397,1904140.8542549724,1,1,125.0,1531,1313,1656
4,Startup,https://angel.co/company/syapse,Syapse,"
Powering precision medicine with insights from a global oncology network
",2012-02-01,Radnor,Bioinformatics,51-200,Series C,59500000,syapse.com,8.317808219178081,7153326.745718052,1,1,125.0,1705,254,1676
5,Startup,https://angel.co/company/lark-3,Lark,"
Lark's AI digital care platform enables virtual management of diabetes and heart disease
",2013-06-01,Silicon Valley,Consumer Electronics,51-200,Series C,71700000,lark.com,6.986301369863014,10262941.176470587,1,1,125.0,551,1546,6214
6,Startup,https://angel.co/company/quest-analytics,Quest Analytics,"
Powering the healthcare market with validated doctor data
",2012-04-01,Kansas City,Big Data Analytics,51-200,Acquired,24125000,betterdoctor.com,8.153424657534247,2958879.36827957,1,1,125.0,0,0,0
7,Startup,https://angel.co/company/benchling,Benchling,"
Informatics platform to accelerate, measure, and forecast R&D from discovery through bioprocessing
",2012-08-01,San Francisco,Synthetic Biology,51-200,Series C,61900000,benchling.com,7.81917808219178,7916433.076384023,1,1,125.0,6223,1959,3347
8,Startup,https://angel.co/company/flatiron-health,Flatiron Health,"
 Accelerating cancer research and improving patient care
",2012-09-01,New York City,Health Care Information Technology,501-1000,Series A,328000000,flatiron.com,7.734246575342466,42408784.98051718,1,1,750.0,0,0,0
9,Startup,https://angel.co/company/gauss-surgical-1,Gauss Surgical,"
AI-Enabled Platform for Surgery
",2013-09-01,Menlo Park,Computer Vision,11-50,Series C,38026000,gausssurgical.com,6.734246575342466,5646659.886086249,1,1,25.0,0,0,0
10,Startup,https://angel.co/company/humanapi,Human API,"
The easiest way for consumers to connect & share health data with any company
",2013-05-01,San Mateo,Real Time,11-50,Series A,16624982,humanapi.co,7.07123287671233,2351072.6191398683,1,1,25.0,0,0,0
11,Startup,https://angel.co/company/ubiome,uBiome,"
Big Data from Bacteria
",2013-03-01,San Francisco,Big Data,201-500,Series C,104500000,ubiome.com,7.238356164383561,14436979.560938682,1,1,350.0,32334,18387,6351
12,Startup,https://angel.co/company/act-md,Activate Care,"
It takes a community
",2014-08-01,Boston,Health Care Information Technology,11-50,Series A,8400000,activatecare.com,5.8191780821917805,1443502.8248587572,1,0,25.0,0,0,0
13,Startup,https://angel.co/company/bright-md,Bright.md,"
Automating $150 billion of care delivery
",2013-12-01,Portland,Mobile Health,11-50,Series B,11500000,bright.md,6.484931506849315,1773341.7828474862,1,0,25.0,0,0,0
14,Startup,https://angel.co/company/amino-inc,Amino,"
Amino is a healthcare financial wellness benefit for mid-sized and large employers
",2014-04-01,San Francisco,Small and Medium Businesses,11-50,Seed,46150000,amino.com,6.153424657534248,7499888.691006232,1,1,25.0,0,0,0
15,Startup,https://angel.co/company/whoop,WHOOP,"
Whoop is a performance optimization system for elite athletes and teams
",2015-07-01,Boston,Fitness,51-200,Series C,47000000,whoop.com,4.904109589041097,9583798.882681563,1,1,125.0,20161,248,10917
16,Startup,https://angel.co/company/docsapp,DocsApp,"
Making quality healthcare easily accessible to over a billion people! 
",2015-10-01,Bengaluru,Artificial Intelligence,201-500,Series A,8400000,docsapp.in,4.652054794520548,1805653.71024735,1,0,350.0,23,67,94
17,Startup,https://angel.co/company/virta-health,Virta Health,"
The first and only clinically-proven treatment to reverse type 2 diabetes w/o drugs or surgery
",2016-04-01,San Francisco,Healthcare,51-200,Series C,175000000,virtahealth.com,4.1506849315068495,42161716.17161716,1,1,125.0,0,0,0
