joined,kind,link,location,market,name,,raised,size,stage,website,years,annual_raised,raised_2mil,raised_12mil,size_numeric,followers,following
5/1/2012,Startup,https://angel.co/company/ginx,Las Vegas,Mobile Commerce,*Ginx,,700000,10-Jan,Seed,ginxapp.com,7.62739726,91774.42529,0,0,5,57,74
10/1/2012,Startup,https://angel.co/company/1world-1,Redwood City,Polling,1World Online,,7280000,10-Jan,Series A,1worldonline.com,7.208219178,1009958.191,1,0,5,5643,1427
8/1/2014,Startup,https://angel.co/company/21,San Francisco,Bitcoin,21,,116000000,Nov-50,Seed,21.co,5.375342466,21580020.39,1,1,25,0,0
9/1/2013,Startup,https://angel.co/company/24sessions,Amsterdam,Developer APIs,24sessions,,135000,Nov-50,Seed,24sessions.com,6.290410959,21461.23693,0,0,25,2657,3032
2/1/2016,Startup,https://angel.co/company/2morrow,Seattle,B2B,2Morrow,,350000,Nov-50,Seed,2morrowinc.com,3.871232877,90410.47417,0,0,25,1244,916
9/1/2012,Startup,https://angel.co/company/2gether-app,Barcelona,Mobile Commerce,2gether app,,55000,10-Jan,Seed,2getherapp.com,7.290410959,7544.156332,0,0,5,327,1200
12/1/2012,Startup,https://angel.co/company/30-second-showcase,New York City,Apps,30 Second Showcase,,25000,10-Jan,Seed,30secondshowcase.com,7.04109589,3550.583658,0,0,5,309,121
10/1/2014,Startup,https://angel.co/company/360alumni-1,Ridgefield,Nonprofits,360Alumni,,600000,10-Jan,Seed,360alumni.com,5.208219178,115202.525,0,0,5,658,344
2/1/2014,Startup,https://angel.co/company/37coins,Sunnyvale,Banking,37coins,,25000,10-Jan,Seed,37coins.com,5.871232877,4258.049463,0,0,5,1419,968
12/1/2013,Startup,https://angel.co/company/4n-media-group,Paris,Language Learning,4n Media Group,,450000,-,Seed,4nmedia.com,6.04109589,74489.79592,0,0,,0,0
8/1/2013,Startup,https://angel.co/company/7shifts,Regina,Hospitality,7shifts,,11450000,10-Jan,Series A,7shifts.com,6.375342466,1795981.951,1,0,5,1092,2912
2/1/2013,Startup,https://angel.co/company/800razors-com-1,Boca Raton,E-Commerce,800razors.com,,100000,10-Jan,Series A,800razors.com,6.871232877,14553.42903,0,0,5,0,0
2/1/2014,Startup,https://angel.co/company/8fit,Berlin,Fitness,8fit,,9500000,51-200,Series A,8fit.com,5.871232877,1618058.796,1,0,125,3992,557
10/1/2012,Startup,https://angel.co/company/9lenses,Washington DC,SaaS,9Lenses,,4100000,Nov-50,Series A,9lenses.com,7.208219178,568795.1349,1,0,25,1809,2018
4/1/2013,Startup,https://angel.co/company/pay,Albuquerque,Mobile Payments,"@Pay - Mobile Payments, simplified.",,3500000,10-Jan,Seed,atpay.com,6.709589041,521641.4863,1,0,5,5,0
8/1/2014,Startup,https://angel.co/company/act-md,Boston,Health Care Information Technology,ACT.md,,8400000,Nov-50,Series A,act.md,5.375342466,1562691.131,1,0,25,1,33
