,Unnamed: 0,joined,kind,link,location,market,name,,raised,size,stage,website,years,annual_raised,raised_2mil,raised_12mil,size_numeric,followers,following
2216,2216,2/1/2015,Startup,https://angel.co/company/motiv,San Francisco,Fitness,Motiv,,15668000,Nov-50,Series A,mymotiv.com,4.871232877,3216434.196,1,1,25,0,0
2217,2217,7/1/2013,Startup,https://angel.co/company/motrpart,Delhi,B2B,Motrpart,,8333,10-Jan,Seed,motrpart.in,6.460273973,1289.883376,0,0,5,0,0
2218,2218,2/1/2015,Startup,https://angel.co/company/motux,Denver,Location Based Services,MotuX,,50000,10-Jan,Seed,Website,4.871232877,10264.34196,0,0,5,0,0
2225,2225,10/1/2013,Startup,https://angel.co/company/moviepass,New York City,Film,MoviePass,,12245000,10-Jan,Series A,moviepass.com,6.208219178,1972385.26,1,1,5,58.8K,509
2226,2226,4/1/2013,Startup,https://angel.co/company/movigo,San Francisco,Location Based Services,Movigo,,50000,10-Jan,Seed,movigo.com,6.709589041,7452.021233,0,0,5,49,274
2232,2232,11/1/2012,Startup,https://angel.co/company/musicfellas,Delhi,Independent Music,Musicfellas,,20000,10-Jan,Seed,musicfellas.com,7.123287671,2807.692308,0,0,5,"1,659","1,228"
2234,2234,5/1/2013,Startup,https://angel.co/company/musopia,Finland,Mobile Games,Musopia,,1251000,10-Jan,Seed,musopia.net,6.62739726,188761.8851,0,0,5,346,476
2237,2237,3/1/2014,Startup,https://angel.co/company/musthaver,Moscow,Reviews and Recommendations,Musthaver,,100000,10-Jan,Seed,musthaver.com,5.794520548,17257.68322,0,0,5,11,16
2238,2238,3/1/2016,Startup,https://angel.co/company/muvme,San Francisco Bay Area,Sharing Economy,MuvMe,,25000,,Seed,muvmeinc.com,3.791780822,6593.208092,0,0,,0,0
2239,2239,2/1/2013,Startup,https://angel.co/company/muzeek,Sydney,B2B,Muzeek,,250000,10-Jan,Seed,muzeek.com,6.871232877,36383.57257,0,0,5,456,971
2243,2243,3/1/2012,Startup,https://angel.co/company/mydiem,San Francisco,Online Scheduling,MyDiem,,300000,10-Jan,Seed,mydiem.com,7.794520548,38488.57645,0,0,5,171,380
