joined,kind,link,location,market,name,,raised,size,stage,website,years,annual_raised,raised_2mil,raised_12mil,size_numeric
1/1/2013,Startup,https://angel.co/company/waynaut,Milan,Developer APIs,Waynaut,,300000,Nov-50,Seed,waynaut.com,6.956164384,43127.21544,0,0,25
6/1/2012,Startup,https://angel.co/company/wearepopup,London,Commercial Real Estate,We Are Pop Up,,1321000,10-Jan,Seed,wearepopup.com,7.542465753,175141.6636,0,0,5
8/1/2013,Startup,https://angel.co/company/we-heart-it,San Francisco,Photo Sharing,We Heart It,,8000000,Nov-50,Series A,weheartit.com,6.375342466,1254834.551,1,0,25
6/1/2014,Startup,https://angel.co/company/we-make-dance-music,Montreal,SaaS,We Make Dance Music (WMDM Media LLC),,50000,10-Jan,Seed,wemakedancemusic.com,5.542465753,9021.255561,0,0,5
5/1/2013,Startup,https://angel.co/company/wecounsel,Chattanooga,Mental Health,WeCounsel,,4400000,10-Jan,Series A,wecounsel.com,6.62739726,663910.7069,1,0,5
10/1/2011,Startup,https://angel.co/company/wegoout,Rio de Janeiro,Nightlife,WeGoOut,,40000,10-Jan,Seed,wegoout.com,8.210958904,4871.538205,0,0,5
5/1/2014,Startup,https://angel.co/company/weinvest,Singapore,Investment Management,WeInvest,,13290000,51-200,Series A,weinvest.net,5.62739726,2361660.175,1,1,125
4/1/2012,Startup,https://angel.co/company/weplann,San Francisco,Latin America,WePlann,,500000,10-Jan,Seed,weplann.com,7.709589041,64854.29993,0,0,5
3/1/2017,Startup,https://angel.co/company/werecover,Los Angeles,Mobile Health,WeRecover,,5250000,Nov-50,Seed,WeRecover.com,2.791780822,1880520.118,1,0,25
1/1/2012,Startup,https://angel.co/company/wespire,Boston,Hr Tech,WeSpire,,6750000,Nov-50,Series A,wespire.com,7.95890411,848106.7126,1,0,25
10/1/2013,Startup,https://angel.co/company/westore,London,Self Storage,WeStore,,200000,10-Jan,Seed,WeStore.co.uk,6.208219178,32215.35746,0,0,5
6/1/2014,Startup,https://angel.co/company/wealthsimple,Toronto,Investment Management,Wealthsimple,,31900000,201-500,Series A,wealthsimple.com,5.542465753,5755561.048,1,1,350
1/1/2014,Startup,https://angel.co/company/weathercloud,Boulder,Internet of Things,WeatherCloud,,175000,-,Seed,weathercloud.co,5.956164384,29381.32475,0,0,
1/1/2014,Startup,https://angel.co/company/web-development-phoenix,Phoenix,SEO,Web Development Phoenix,,200000,Nov-50,Series A,phoenix.fortuneinnovations.com,5.956164384,33578.65685,0,0,25
9/1/2012,Startup,https://angel.co/company/webflow,San Francisco,Web Design,Webflow,,1500000,51-200,Seed,webflow.com,7.290410959,205749.7182,0,0,125
2/1/2014,Startup,https://angel.co/company/websand,Newcastle upon Tyne,Email,Websand,,295000,10-Jan,Seed,websand.co.uk,5.871232877,50244.98367,0,0,5
1/1/2013,Startup,https://angel.co/company/webware,Toronto,Retail Technology,Webware.io,,870000,51-200,Seed,webware.io,6.956164384,125068.9248,0,0,125
5/1/2012,Startup,https://angel.co/company/weddingful,Vancouver,Weddings,Weddingful,,1320000,Nov-50,Seed,weddingful.com,7.62739726,173060.3448,0,0,25
10/1/2016,Startup,https://angel.co/company/sayweee,Fremont,Mobile Commerce,Weee!,,18950000,51-200,Series A,sayweee.com,3.205479452,5911752.137,1,1,125
9/1/2013,Startup,https://angel.co/company/weele,Bogota,Language Learning,Weele,,25000,10-Jan,Seed,weele.mx,6.290410959,3974.303136,0,0,5
4/1/2013,Startup,https://angel.co/company/weemo,San Francisco,Video Chat,Weemo,,4600000,Nov-50,Series A,weemo.com,6.709589041,685585.9535,1,0,25
5/1/2013,Startup,https://angel.co/company/wellpepper,Seattle,Mobile Health,Wellpepper,,176097,10-Jan,Seed,wellpepper.com,6.62739726,26571.06449,0,0,5
10/1/2016,Startup,https://angel.co/company/welltory,San Francisco,Corporate Wellness,Welltory,,2430000,Nov-50,Seed,welltory.com,3.205479452,758076.9231,1,0,25
