,kind,link,name,pitch,joined,location,market,size,stage,raised,website
0,,,,,,,,,,,
1,Startup,https://angel.co/company/drchrono,DrChrono,"
On a mission to fix healthcare
",Feb ’11,Sunnyvale,Medical Devices,51-200,Series A,"$48,725,000",drchrono.com
2,Startup,https://angel.co/company/classpass,ClassPass,"
One app for the best fitness classes
",Jul ’11,Sydney,Fitness,501-1000,Series C,"$84,000,000",classpass.com
3,Startup,https://angel.co/company/fabricgenomics,Fabric Genomics,"
Global healthcare platform for genomics-driven precision medicine, proven AI algorithms
",Jul ’13,Oakland,Bioinformatics,11-50,Series B,"$23,000,000",fabricgenomics.com
4,Startup,https://angel.co/company/chewse,Chewse,"
Provides hassle-free, locally-sourced, delicious food, delivered straight to your door
",Jan ’12,Austin,Hospitality,51-200,Series B,"$16,000,000",chewse.com
5,Startup,https://angel.co/company/syapse,Syapse,"
Powering precision medicine with insights from a global oncology network
",Feb ’12,Radnor,Bioinformatics,51-200,Series C,"$59,500,000",syapse.com
6,Startup,https://angel.co/company/lark-3,Lark,"
Lark's AI digital care platform enables virtual management of diabetes and heart disease
",Jun ’13,Silicon Valley,Consumer Electronics,51-200,Series C,"$71,700,000",lark.com
7,Startup,https://angel.co/company/quest-analytics,Quest Analytics,"
Powering the healthcare market with validated doctor data
",Apr ’12,Kansas City,Big Data Analytics,51-200,Acquired,"$24,125,000",betterdoctor.com
8,Startup,https://angel.co/company/benchling,Benchling,"
Informatics platform to accelerate, measure, and forecast R&D from discovery through bioprocessing
",Aug ’12,San Francisco,Synthetic Biology,51-200,Series C,"$61,900,000",benchling.com
9,Startup,https://angel.co/company/flatiron-health,Flatiron Health,"
 Accelerating cancer research and improving patient care
",Sep ’12,New York City,Health Care Information Technology,501-1000,Series A,"$328,000,000",flatiron.com
10,Startup,https://angel.co/company/gauss-surgical-1,Gauss Surgical,"
AI-Enabled Platform for Surgery
",Sep ’13,Menlo Park,Computer Vision,11-50,Series C,"$38,026,000",gausssurgical.com
11,Startup,https://angel.co/company/humanapi,Human API,"
The easiest way for consumers to connect & share health data with any company
",May ’13,San Mateo,Real Time,11-50,Series A,"$16,624,982",humanapi.co
12,Startup,https://angel.co/company/first-opinion,First Opinion,"
The free way to talk to a doctor, 24/7
",Feb ’13,San Francisco,Messaging,11-50,,"$9,800,000",FirstOpinionApp.com
13,Startup,https://angel.co/company/ubiome,uBiome,"
Big Data from Bacteria
",Mar ’13,San Francisco,Big Data,201-500,Series C,"$104,500,000",ubiome.com
14,Startup,https://angel.co/company/act-md,Activate Care,"
It takes a community
",Aug ’14,Boston,Health Care Information Technology,11-50,Series A,"$8,400,000",activatecare.com
15,Startup,https://angel.co/company/bright-md,Bright.md,"
Automating $150 billion of care delivery
",Dec ’13,Portland,Mobile Health,11-50,Series B,"$11,500,000",bright.md
16,Startup,https://angel.co/company/amino-inc,Amino,"
Amino is a healthcare financial wellness benefit for mid-sized and large employers
",Apr ’14,San Francisco,Small and Medium Businesses,11-50,Seed,"$46,150,000",amino.com
17,Startup,https://angel.co/company/oscar-insurance,Oscar Health,"
Helping you save time and money, by providing high quality, affordable health plans
",Jun ’14,Tempe,Insurance,1001-5000,,"$1,267,500,000",hioscar.com
18,Startup,https://angel.co/company/whoop,WHOOP,"
Whoop is a performance optimization system for elite athletes and teams
",Jul ’15,Boston,Fitness,51-200,Series C,"$47,000,000",whoop.com
19,Startup,https://angel.co/company/docsapp,DocsApp,"
Making quality healthcare easily accessible to over a billion people! 
",Oct ’15,Bengaluru,Artificial Intelligence,201-500,Series A,"$8,400,000",docsapp.in
20,Startup,https://angel.co/company/virta-health,Virta Health,"
The first and only clinically-proven treatment to reverse type 2 diabetes w/o drugs or surgery
",Apr ’16,San Francisco,Healthcare,51-200,Series C,"$175,000,000",virtahealth.com
21,Startup,https://angel.co/company/titanfile,TitanFile,"
The easiest and most comprehensive way to correspond and share files in total security
",May ’11,Toronto,Insurance,1-10,Seed,"$1,350,000",titanfile.com
22,Startup,https://angel.co/company/cureatr,Cureatr,"
Mobile Care Coordination
",Jun ’14,New York City,Health Care Information Technology,11-50,Series A,"$6,125,000",cureatr.com
23,Startup,https://angel.co/company/sickweather,Sickweather,"
Waze for sickness
",Nov ’11,Baltimore,Mobile Health,1-10,Seed,"$870,000",sickweather.com
24,Startup,https://angel.co/company/agilemd,AgileMD,"
EHR-integrated pathways, analytics, and scoring tools
",Mar ’12,San Francisco,Health Care Information Technology,1-10,Seed,"$2,500,000",agilemd.com
25,Startup,https://angel.co/company/rimidi,Rimidi,"
Data analytics software for diabetes
",May ’12,Atlanta,Predictive Analytics,1-10,,"$910,000",rimidi.com
26,Startup,https://angel.co/company/digitalmr,DigitalMR,"
Next Generation Market Research
",Mar ’14,London,Fast-Moving Consumer Goods,11-50,Seed,"$1,020,000",digital-mr.com
27,Startup,https://angel.co/company/happier,Happier,"
Focusing on the positive and staying connected to people you care about makes you happier
",Jan ’13,Boston,Personal Health,1-10,Seed,"$4,400,000",happier.com
28,Startup,https://angel.co/company/meludia,Meludia,"
Musical Brain Training
",Aug ’13,Paris,Music Education,11-50,Seed,"$888,350",meludia.com
29,Startup,https://angel.co/company/tute-genomics,Tute Genomics,"
Cloud-based Genome Analysis for Precision Medicine
",Mar ’13,Provo,Startups,11-50,Acquired,"$7,700,000",tutegenomics.com
30,Startup,https://angel.co/company/seratis,Seratis,"
Team transparency platform enabling care coordination for healthcare providers
",Apr ’13,Boston,Communications Infrastructure,1-10,Acquired,"$890,000",seratis.com
31,Startup,https://angel.co/company/solvebio,SolveBio,"
Genomic Intelligence Platform
",Nov ’13,New York City,Bioinformatics,1-10,Seed,"$3,900,000",solvebio.com
32,Startup,https://angel.co/company/rise-2,Rise,"
Affordable & effective 1:1 nutrition coaching
",Oct ’13,San Francisco,,1-10,Acquired,"$2,300,000",rise.us
33,Startup,https://angel.co/company/dmetrics,dMetrics,"
AI for everyone
",Sep ’16,New York City,Machine Learning,11-50,Seed,"$7,930,000",dmetrics.com
34,Startup,https://angel.co/company/infermedica,Infermedica,"
AI-driven digital health company specialized in tools for preliminary diagnosis and triage
",Sep ’13,Wrocław,Mobile Health,51-200,Seed,"$3,650,000",infermedica.com
35,Startup,https://angel.co/company/mahmee,Mahmee,"
Mapping the Maternal Healthcare Ecosystem
",Oct ’15,Los Angeles,Women-Focused,11-50,Seed,"$4,005,000",mahmee.com
36,Startup,https://angel.co/company/picnichealth,PicnicHealth,"
Own Your Health. Advance Medicine
",Mar ’14,San Francisco,Healthcare Services,11-50,,"$2,000,000",picnichealth.com
37,Startup,https://angel.co/company/ava-me,Ava Accessibility,"
Live subtitles for any conversation. enjoy 24/7 access to conversations around you
",Mar ’14,San Francisco,Communications Hardware,11-50,-,"$1,845,000",ava.me
38,Startup,https://angel.co/company/careskore-1,CareSkore,"
Personalized Population Health Management
",Jan ’15,San Francisco,Predictive Analytics,11-50,Seed,"$4,300,000",careskore.com
39,Startup,https://angel.co/company/aira,Aira,"
Visual Interpreter
",May ’15,San Diego,Assisitive Technology,11-50,Seed,"$4,080,000",aira.io
40,Startup,https://angel.co/company/zenysis,Zenysis,"
Advanced analytics for developing countries
",Mar ’16,San Francisco,International Development,11-50,Series A,"$8,003,365",zenysis.com
41,Startup,https://angel.co/company/titanfile,TitanFile,"
The easiest and most comprehensive way to correspond and share files in total security
",May ’11,Toronto,Insurance,1-10,Seed,"$1,350,000",titanfile.com
42,Startup,https://angel.co/company/cureatr,Cureatr,"
Mobile Care Coordination
",Jun ’14,New York City,Health Care Information Technology,11-50,Series A,"$6,125,000",cureatr.com
43,Startup,https://angel.co/company/sickweather,Sickweather,"
Waze for sickness
",Nov ’11,Baltimore,Mobile Health,1-10,Seed,"$870,000",sickweather.com
44,Startup,https://angel.co/company/agilemd,AgileMD,"
EHR-integrated pathways, analytics, and scoring tools
",Mar ’12,San Francisco,Health Care Information Technology,1-10,Seed,"$2,500,000",agilemd.com
45,Startup,https://angel.co/company/rimidi,Rimidi,"
Data analytics software for diabetes
",May ’12,Atlanta,Predictive Analytics,1-10,,"$910,000",rimidi.com
46,Startup,https://angel.co/company/digitalmr,DigitalMR,"
Next Generation Market Research
",Mar ’14,London,Fast-Moving Consumer Goods,11-50,Seed,"$1,020,000",digital-mr.com
47,Startup,https://angel.co/company/happier,Happier,"
Focusing on the positive and staying connected to people you care about makes you happier
",Jan ’13,Boston,Personal Health,1-10,Seed,"$4,400,000",happier.com
48,Startup,https://angel.co/company/meludia,Meludia,"
Musical Brain Training
",Aug ’13,Paris,Music Education,11-50,Seed,"$888,350",meludia.com
49,Startup,https://angel.co/company/tute-genomics,Tute Genomics,"
Cloud-based Genome Analysis for Precision Medicine
",Mar ’13,Provo,Startups,11-50,Acquired,"$7,700,000",tutegenomics.com
50,Startup,https://angel.co/company/seratis,Seratis,"
Team transparency platform enabling care coordination for healthcare providers
",Apr ’13,Boston,Communications Infrastructure,1-10,Acquired,"$890,000",seratis.com
51,Startup,https://angel.co/company/solvebio,SolveBio,"
Genomic Intelligence Platform
",Nov ’13,New York City,Bioinformatics,1-10,Seed,"$3,900,000",solvebio.com
52,Startup,https://angel.co/company/rise-2,Rise,"
Affordable & effective 1:1 nutrition coaching
",Oct ’13,San Francisco,,1-10,Acquired,"$2,300,000",rise.us
53,Startup,https://angel.co/company/dmetrics,dMetrics,"
AI for everyone
",Sep ’16,New York City,Machine Learning,11-50,Seed,"$7,930,000",dmetrics.com
54,Startup,https://angel.co/company/infermedica,Infermedica,"
AI-driven digital health company specialized in tools for preliminary diagnosis and triage
",Sep ’13,Wrocław,Mobile Health,51-200,Seed,"$3,650,000",infermedica.com
55,Startup,https://angel.co/company/mahmee,Mahmee,"
Mapping the Maternal Healthcare Ecosystem
",Oct ’15,Los Angeles,Women-Focused,11-50,Seed,"$4,005,000",mahmee.com
56,Startup,https://angel.co/company/picnichealth,PicnicHealth,"
Own Your Health. Advance Medicine
",Mar ’14,San Francisco,Healthcare Services,11-50,,"$2,000,000",picnichealth.com
57,Startup,https://angel.co/company/ava-me,Ava Accessibility,"
Live subtitles for any conversation. enjoy 24/7 access to conversations around you
",Mar ’14,San Francisco,Communications Hardware,11-50,-,"$1,845,000",ava.me
58,Startup,https://angel.co/company/careskore-1,CareSkore,"
Personalized Population Health Management
",Jan ’15,San Francisco,Predictive Analytics,11-50,Seed,"$4,300,000",careskore.com
59,Startup,https://angel.co/company/aira,Aira,"
Visual Interpreter
",May ’15,San Diego,Assisitive Technology,11-50,Seed,"$4,080,000",aira.io
60,Startup,https://angel.co/company/zenysis,Zenysis,"
Advanced analytics for developing countries
",Mar ’16,San Francisco,International Development,11-50,Series A,"$8,003,365",zenysis.com
61,Startup,https://angel.co/company/titanfile,TitanFile,"
The easiest and most comprehensive way to correspond and share files in total security
",May ’11,Toronto,Insurance,1-10,Seed,"$1,350,000",titanfile.com
62,Startup,https://angel.co/company/cureatr,Cureatr,"
Mobile Care Coordination
",Jun ’14,New York City,Health Care Information Technology,11-50,Series A,"$6,125,000",cureatr.com
63,Startup,https://angel.co/company/sickweather,Sickweather,"
Waze for sickness
",Nov ’11,Baltimore,Mobile Health,1-10,Seed,"$870,000",sickweather.com
64,Startup,https://angel.co/company/agilemd,AgileMD,"
EHR-integrated pathways, analytics, and scoring tools
",Mar ’12,San Francisco,Health Care Information Technology,1-10,Seed,"$2,500,000",agilemd.com
65,Startup,https://angel.co/company/rimidi,Rimidi,"
Data analytics software for diabetes
",May ’12,Atlanta,Predictive Analytics,1-10,,"$910,000",rimidi.com
66,Startup,https://angel.co/company/digitalmr,DigitalMR,"
Next Generation Market Research
",Mar ’14,London,Fast-Moving Consumer Goods,11-50,Seed,"$1,020,000",digital-mr.com
67,Startup,https://angel.co/company/happier,Happier,"
Focusing on the positive and staying connected to people you care about makes you happier
",Jan ’13,Boston,Personal Health,1-10,Seed,"$4,400,000",happier.com
68,Startup,https://angel.co/company/meludia,Meludia,"
Musical Brain Training
",Aug ’13,Paris,Music Education,11-50,Seed,"$888,350",meludia.com
69,Startup,https://angel.co/company/tute-genomics,Tute Genomics,"
Cloud-based Genome Analysis for Precision Medicine
",Mar ’13,Provo,Startups,11-50,Acquired,"$7,700,000",tutegenomics.com
70,Startup,https://angel.co/company/seratis,Seratis,"
Team transparency platform enabling care coordination for healthcare providers
",Apr ’13,Boston,Communications Infrastructure,1-10,Acquired,"$890,000",seratis.com
71,Startup,https://angel.co/company/solvebio,SolveBio,"
Genomic Intelligence Platform
",Nov ’13,New York City,Bioinformatics,1-10,Seed,"$3,900,000",solvebio.com
72,Startup,https://angel.co/company/rise-2,Rise,"
Affordable & effective 1:1 nutrition coaching
",Oct ’13,San Francisco,,1-10,Acquired,"$2,300,000",rise.us
